"Variable","Variable Number","Topic","Topic Number","Subtopic","Subtopic Number","Survey Years","Availability","Description","Table Name","Type","Edit Flag Variable","Imputation Strategy","Response Codes","Question Text","Instrument Variable Name(s)","Disclosure","Conditions in Universe","User Notes"
"CONTROL",1,"Admin",1,"Interview Status",1,"2021 National","PUF","Control number","ALL","Character","NA","Coming soon","000000000001 : 999999999999: 000000000001 to 999999999999","NA","NA","None","INTSTATUS in ('1' '2' '3')","CONTROL is sequentially assigned each survey year. Beginning with 2015, the first three digits are 110 for National sample records, and 210 for Metropolitan sample records. The last five digits are sequentially numbered beginning with 00001. CONTROL can be used to link records across datasets and between survey years."
"CONTROL",1,"Admin",1,"Interview Status",1,"2021 Metro","PUF","Control number","ALL","Character","NA","Coming soon","10000001 : 99999999: 10000001 to 99999999","NA","NA","None","INTSTATUS in ('1' '2' '3')","CONTROL is sequentially assigned each survey year. Beginning with 2015, the first three digits are 110 for National sample records, and 210 for Metropolitan sample records. The last five digits are sequentially numbered beginning with 00001. CONTROL can be used to link records across datasets and between survey years."
"INTLANG",2,"Admin",1,"Interview Status",1,"2021 National, 2021 Metro, 2019 National, 2019 Metro","PUF","Interview language","HOUSEHOLD","Character","NA","Coming soon","01: English||02: Spanish||10: Other||M or -9: Not reported","In what language was the interview conducted?","LANG","None","INTSTATUS in ('1' '2' '3')","This question is not asked of the respondent. The Field Representative provided the language information as the interview was being completed. This information is recorded for all Occupied, Vacant, and URE interviews."
"INTMODE",3,"Admin",1,"Interview Status",1,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Interview mode","HOUSEHOLD","Character","NA","Coming soon","1: Telephone interview||2: Personal visit||M or -9: Not reported","NA","NA","None","INTSTATUS in ('1' '2' '3')","Interview mode is determined using information provided by the Field Representative."
"INTMONTH",4,"Admin",1,"Interview Status",1,"2021 National, 2021 Metro, 2019 National, 2019 Metro","PUF","Interview month","HOUSEHOLD","Character","NA","Coming soon","01: January||02: February||03: March||04: April||05: May||06: June||07: July||08: August||09: September||10: October||11: November||12: December","NA","NA","None","INTSTATUS in ('1' '2' '3')","Interview month is determined using the instrument (laptop) date stamp for the interview. If the respondent was interviewed in more than one month (for example, a follow-up visit was needed to complete the interview), INTMONTH reflects the last contact."
"INTSTATUS",5,"Admin",1,"Interview Status",1,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Interview status","HOUSEHOLD","Character","NA","Coming soon","1: Occupied interview||2: URE (Usual Residence Elsewhere) interview||3: Vacant interview","NA","NA","None","INTSTATUS in ('1' '2' '3')","Interview status is determined using information provided by the Field Representative."
"BLOCK_2010",1,"Admin",1,"Geography",2,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","2010 Census block code","HOUSEHOLD","Character","NA","Coming soon","1000 : 9999: 1000 to 9999","NA","NA","Withheld","INTSTATUS in ('1' '2' '3')",
"COUNTY_2010",2,"Admin",1,"Geography",2,"2021 National, 2021 Metro","IUF Only","2010 Census county FIPS code","HOUSEHOLD","Character","NA","Coming soon","001 : 840: 001 to 840","NA","NA","Withheld","INTSTATUS in ('1' '2' '3')","These values adhere to the Federal Information Processing Standards (FIPS) three digit county codes for 2010. More information on these codes can be found at https://www.census.gov/programs-surveys/popest/geographies/reference-files.html."
"DEGREE",3,"Admin",1,"Geography",2,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","Average heating / cooling degree days","HOUSEHOLD","Character","NA","Coming soon","1: Coldest: 7,001 or more heating degree days and less than 2,000 cooling degree days||2: Cold: 5,500 to 7,000 heating degree days and less than 2,000 cooling degree days||3: Cool: 4,000 to 5,499 heating degree days and less than 2,000 cooling degree days||4: Mild: less than 4,000 heating degree days and less than 2,000 cooling degree days||5: Mixed: 2,000 to 3,999 heating degree days and 2,000 or more cooling degree days||6: Hot: less than 2,000 heating degree days and 2,000 or more cooling degree days","NA","NA","Withheld","INTSTATUS in ('1' '2' '3')",
"DIVISION",4,"Admin",1,"Geography",2,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Census division","HOUSEHOLD","Character","NA","Coming soon","1: New England||2: Middle Atlantic||3: East North Central||4: West North Central||5: South Atlantic||6: East South Central||7: West South Central||8: Mountain||9: Pacific","NA","NA","None","INTSTATUS in ('1' '2' '3')","DIVISION appears on the National PUF only. The Metro IUF, not the PUF, includes DIVISION (due to disclosure reasons)."
"LAT",5,"Admin",1,"Geography",2,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","Latitude","HOUSEHOLD","Character","JLAT","Coming soon","Blank","NA","NA","Withheld","INTSTATUS in ('1' '2' '3')",
"LON",6,"Admin",1,"Geography",2,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","Longitude","HOUSEHOLD","Character","JLON","Coming soon","Blank","NA","NA","Withheld","INTSTATUS in ('1' '2' '3')",
"METRO_2013",7,"Admin",1,"Geography",2,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","2013 metropolitan area type","HOUSEHOLD","Character","NA","Coming soon","1: Metro: Central City||2: Metro: Non-Central City||3: Micropolitan Area||4: Non-Micropolitan Area","NA","NA","Withheld","INTSTATUS in ('1' '2' '3')","This item uses Office of Management and Budget (OMB) definitions for 2013 metro areas and their principal cities. More information on these definitions can be found at https://www.census.gov/programs-surveys/metro-micro.html."
