CWNS_NUMBER,PRES_RES_RECEIVING_COLLCTN,PRES_RES_UPSTREAM,PRES_RES_TOTAL_RECEIVNG_TRMT,PRES_RES_DOWNSTREAM,PRES_RES_ACTUAL_RECEIVNG_TRMT,PRES_RES_ONSITE_WTS,PRES_RES_ONSITE_WTS_UNITS,PRES_RES_ONSITE_WTS_POP_P_UT,PRES_RES_CLUSTER,PRES_RES_CLUSTER_UNITS,PRES_RES_CLUSTER_POP_P_UT,PRES_N_RES_RECEIVING_COLLCTN,PRES_N_RES_UPSTREAM,PRES_N_RES_TOTAL_RECEIVNG_TRMT,PRES_N_RES_DOWNSTREAM,PRES_N_RES_ACTUAL_RECEVNG_TRMT,PRES_N_RES_ONSITE_WTS,PRES_N_RES_ONSITE_WTS_UNITS,PRES_N_RES_ONSITE_WTS_POP_P_UT,PRES_N_RES_CLUSTER,PRES_N_RES_CLUSTER_UNITS,PRES_N_RES_CLUSTER_POP_P_UT,PROJ_RES_RECEIVING_COLLCTN,PROJ_RES_REC_COLLCTN_YEAR,PROJ_RES_UPSTREAM,PROJ_RES_TOTAL_RECEIVNG_TRMT,PROJ_RES_DOWNSTREAM,PROJ_RES_ACTUAL_RECEIVNG_TRMT,PROJ_RES_ONSITE_WTS,PROJ_RES_ONSITE_WTS_UNITS,PROJ_RES_ONSITE_WTS_POP_P_UT,PROJ_RES_ONSITE_WTS_YEAR,PROJ_RES_CLUSTER,PROJ_RES_CLUSTER_UNITS,PROJ_RES_CLUSTER_POP_P_UT,PROJ_RES_CLUSTER_YEAR,PROJ_N_RES_RECEIVING_COLLCTN,PROJ_N_RES_REC_COLLCTN_YEAR,PROJ_N_RES_UPSTREAM,PROJ_N_RES_TOTAL_RECEIVNG_TRMT,PROJ_N_RES_DOWNSTREAM,PROJ_N_RES_ACTUAL_RECEVNG_TRMT,PROJ_N_RES_ONSITE_WTS,PROJ_N_RES_ONSITE_WTS_UNITS,PROJ_N_RES_ONSITE_WTS_POP_P_UT,PROJ_N_RES_ONSITE_WTS_YEAR,PROJ_N_RES_CLUSTER,PROJ_N_RES_CLUSTER_UNITS,PROJ_N_RES_CLUSTER_POP_P_UT,PROJ_N_RES_CLUSTER_YEAR
"47000480002",603,,603,603,0,3109,1346,2.31,,,,,,,,,,,,,,,1000,2015,,1000,1000,0,2839,1229,2.31,2015,,,,,,,,,,,,,,,,,,
"47000142001",1585,,1585,0,1585,3353,1352,2.48,,,,1585,,1585,0,1585,0,,2.66,,,,1856,2032,,1856,0,1856,3353,1352,2.48,,,,,,1856,2032,,1856,0,1856,3596,1352,1352,,,,,
"05000040001",,,,,,450,166,2.71,,,,,,,,,,,,,,,600,,,600,600,0,,,2.71,,,,,,,,,,,,,,,,,,,
"55009528001",,,,,,1863,748,2.49,,,,,,,,,,,,,,,1870,2010,,1870,0,1870,,,2.49,,,,,,,,,,,,,,,,,,,
"42003179002",218,,218,218,0,,,,,,,,,,,,,,,,,,218,,,218,218,0,,,,,,,,,,,,,,,,,,,,,,
"55003650003",,3802,3802,0,3802,,,,,,,,,,,,,,,,,,,,4422,4422,0,4422,,,,,,,,,,,,,,,,,,,,,,
"29002368001",478,200,678,0,678,,,,,,,1500,,1500,0,1500,,,,,,,1060,,290,1350,0,1350,,,,,,,,,5000,,,5000,0,5000,,,,,,,,
"55013263001",1,1953,1954,0,1954,,,,,,,,2740,2740,0,2740,,,,,,,1,,2053,2054,0,2054,,,,,,,,,,,3010,3010,0,3010,,,,,,,,
"55000880002",104,,104,104,0,,,,,,,,,,,,,,,,,,110,,,110,110,0,,,,,,,,,,,,,,,,,,,,,,
"42002103004",70,,70,70,0,,,,,,,,,,,,,,,,,,70,,,70,70,0,,,,,,,,,,,,,,,,,,,,,,
"42003011002",880,,880,0,880,,,,,,,,,,,,,,,,,,880,,,880,0,880,,,,,,,,,,,,,,,,,,,,,,
"41000560001",200,,200,0,200,,,,,,,,,,,,,,,,,,200,,,200,0,200,,,,,,,,,,,,,,,,,,,,,,
"47001507001",,,,,,,,,138,55,2.5,,,,,,,,,,,,,,,,,,,,,,160,64,2.5,2018,,,,,,,,,,,,,,
"29002372001",2628,,2628,2628,0,239,100,2.39,,,,,,,,,,,,,,,2628,,,2628,2628,0,239,100,2.39,,,,,,,,,,,,,,,,,,,
"48003040004",,,,,,,,,,,,,,,,,,,,,,,24000,,,24000,24000,0,,,,,,,,,,,,,,,,,,,,,,
"06003094001",17291,,17291,17291,0,100,40,2.49,,,,,,,,,,,,,,,19000,2022,,19000,19000,0,90,36,2.49,2020,,,,,,,,,,,,,,,,,,
"42007569021",,,,,,50,21,2.36,,,,,,,,,,,,,,,50,,,50,50,0,,,2.36,,,,,,,,,,,,,,,,,,,
"32000200405",,,,,,,,,,,,,,,,,,,,,,,6000,,,6000,6000,0,,,,,,,,,,,,,,,,,,,,,,
"32000200408",6500,,6500,0,6500,,,,,,,,,,,,,,,,,,7500,2020,12300,19800,0,19800,,,,,,,,,,,,,,,,,,,,,,
"16000082101",86,,86,0,86,,,,,,,,,,,,,,,,,,125,,,125,0,125,,,,,,,,,,,,,,,,,,,,,,
"44000027004",,,,,,57808,23595,2.45,,,,,,,,,,,,,,,,,,,,,46502,18980,2.45,,,,,,,,,,,,,,,,,,,
"40000124001",10490,,10490,10490,0,,,,,,,,,,,,,,,,,,11550,2025,,11550,11550,0,,,,,,,,,,,,,,,,,,,,,,
"37005111001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,,,211,211,0,,,,,,,,
"37005402001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717,,,717,717,0,,,,,,,,
"37007111001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,,,435,435,0,,,,,,,,
"37008704001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,125,125,0,,,,,,,,
"37000002001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225,,,1225,0,1225,,,,,,,,
"42004031002",3000,,3000,3000,0,,,,,,,,,,,,,,,,,,3052,,,3052,3052,0,,,,,,,,,,,,,,,,,,,,,,
"20002004033",,,,,,924,424,2.18,,,,,,,,,,,,,,,,,,,,,739,339,2.18,,,,,,,,,,,,,,,,,,,
"20002004035",,,,,,1629,662,2.46,,,,,,,,,,,,,,,,,,,,,2691,1094,2.46,2032,,,,,,,,,,,,,,,,,,
"20002004037",,,,,,4965,2113,2.35,,,,,,,,,,,,,,,,,,,,,3972,1690,2.35,,,,,,,,,,,,,,,,,,,
"20002004039",,,,,,1608,718,2.24,,,,,,,,,,,,,,,,,,,,,1286,574,2.24,,,,,,,,,,,,,,,,,,,
"20002004041",,,,,,4011,1671,2.4,,,,,,,,,,,,,,,,,,,,,3209,1337,2.4,,,,,,,,,,,,,,,,,,,
"20002004043",,,,,,2817,1136,2.48,,,,,,,,,,,,,,,,,,,,,2254,909,2.48,,,,,,,,,,,,,,,,,,,
"20002004045",,,,,,4026,1699,2.37,,,,,,,,,,,,,,,,,,,,,3221,1359,2.37,,,,,,,,,,,,,,,,,,,
"20002004047",,,,,,1515,650,2.33,,,,,,,,,,,,,,,,,,,,,1212,520,2.33,,,,,,,,,,,,,,,,,,,
"20002004049",,,,,,1332,592,2.25,,,,,,,,,,,,,,,,,,,,,1066,474,2.25,,,,,,,,,,,,,,,,,,,
"20002004051",,,,,,3294,1402,2.35,,,,,,,,,,,,,,,,,,,,,2635,1121,2.35,,,,,,,,,,,,,,,,,,,
"20002004053",,,,,,2634,1145,2.3,,,,,,,,,,,,,,,,,,,,,2107,916,2.3,,,,,,,,,,,,,,,,,,,
"20002004055",,,,,,3588,1161,3.09,,,,,,,,,,,,,,,,,,,,,2870,929,3.09,,,,,,,,,,,,,,,,,,,
"20002004057",,,,,,2535,868,2.92,,,,,,,,,,,,,,,,,,,,,2028,695,2.92,,,,,,,,,,,,,,,,,,,
"20002004061",,,,,,3648,1398,2.61,,,,,,,,,,,,,,,,,,,,,2918,1118,2.61,,,,,,,,,,,,,,,,,,,
"20002004063",,,,,,1290,533,2.42,,,,,,,,,,,,,,,,,,,,,1032,426,2.42,,,,,,,,,,,,,,,,,,,
"20002004065",,,,,,1416,621,2.28,,,,,,,,,,,,,,,,,,,,,1133,497,2.28,,,,,,,,,,,,,,,,,,,
"20002004067",,,,,,654,229,2.86,,,,,,,,,,,,,,,,,,,,,523,183,2.86,,,,,,,,,,,,,,,,,,,
"20002004069",,,,,,2157,765,2.82,,,,,,,,,,,,,,,,,,,,,1726,612,2.82,,,,,,,,,,,,,,,,,,,
"20002004071",,,,,,711,284,2.5,,,,,,,,,,,,,,,,,,,,,569,228,2.5,,,,,,,,,,,,,,,,,,,
"20002004073",,,,,,1950,844,2.31,,,,,,,,,,,,,,,,,,,,,1560,675,2.31,,,,,,,,,,,,,,,,,,,
"20002004075",,,,,,954,383,2.49,,,,,,,,,,,,,,,,,,,,,763,306,2.49,,,,,,,,,,,,,,,,,,,
"20002004077",,,,,,1842,801,2.3,,,,,,,,,,,,,,,,,,,,,1474,641,2.3,,,,,,,,,,,,,,,,,,,
"20002004079",,,,,,4527,1811,2.5,,,,,,,,,,,,,,,,,,,,,3622,1449,2.5,,,,,,,,,,,,,,,,,,,
