"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"DP4_0001C","Number!!HOUSING OCCUPANCY!!Total housing units"
"DP4_0001CA","Annotation of Number!!HOUSING OCCUPANCY!!Total housing units"
"DP4_0002C","Number!!HOUSING OCCUPANCY!!Total housing units!!Occupied housing units"
"DP4_0002CA","Annotation of Number!!HOUSING OCCUPANCY!!Total housing units!!Occupied housing units"
"DP4_0003C","Number!!HOUSING OCCUPANCY!!Total housing units!!Occupied housing units!!Population in occupied housing units"
"DP4_0003CA","Annotation of Number!!HOUSING OCCUPANCY!!Total housing units!!Occupied housing units!!Population in occupied housing units"
"DP4_0004C","Number!!HOUSING OCCUPANCY!!Total housing units!!Occupied housing units!!Average household size"
"DP4_0004CA","Annotation of Number!!HOUSING OCCUPANCY!!Total housing units!!Occupied housing units!!Average household size"
"DP4_0005C","Number!!HOUSING OCCUPANCY!!Total housing units!!Vacant housing units"
"DP4_0005CA","Annotation of Number!!HOUSING OCCUPANCY!!Total housing units!!Vacant housing units"
"DP4_0006C","Number!!HOUSING OCCUPANCY!!Total housing units!!Vacant housing units!!For seasonal, recreational, or occasional use"
"DP4_0006CA","Annotation of Number!!HOUSING OCCUPANCY!!Total housing units!!Vacant housing units!!For seasonal, recreational, or occasional use"
"DP4_0007C","Number!!HOUSING OCCUPANCY!!Total housing units!!Homeowner vacancy rate (percent) [1]"
"DP4_0007CA","Annotation of Number!!HOUSING OCCUPANCY!!Total housing units!!Homeowner vacancy rate (percent) [1]"
"DP4_0008C","Number!!HOUSING OCCUPANCY!!Total housing units!!Rental vacancy rate (percent) [2]"
"DP4_0008CA","Annotation of Number!!HOUSING OCCUPANCY!!Total housing units!!Rental vacancy rate (percent) [2]"
"DP4_0009C","Number!!HOUSING TENURE!!Occupied housing units"
"DP4_0009CA","Annotation of Number!!HOUSING TENURE!!Occupied housing units"
"DP4_0010C","Number!!HOUSING TENURE!!Occupied housing units!!Owner-occupied housing units"
"DP4_0010CA","Annotation of Number!!HOUSING TENURE!!Occupied housing units!!Owner-occupied housing units"
"DP4_0011C","Number!!HOUSING TENURE!!Occupied housing units!!Owner-occupied housing units!!Population in owner-occupied housing units"
"DP4_0011CA","Annotation of Number!!HOUSING TENURE!!Occupied housing units!!Owner-occupied housing units!!Population in owner-occupied housing units"
"DP4_0012C","Number!!HOUSING TENURE!!Occupied housing units!!Owner-occupied housing units!!Average household size of owner-occupied housing units"
"DP4_0012CA","Annotation of Number!!HOUSING TENURE!!Occupied housing units!!Owner-occupied housing units!!Average household size of owner-occupied housing units"
"DP4_0013C","Number!!HOUSING TENURE!!Occupied housing units!!Renter-occupied housing units"
"DP4_0013CA","Annotation of Number!!HOUSING TENURE!!Occupied housing units!!Renter-occupied housing units"
"DP4_0014C","Number!!HOUSING TENURE!!Occupied housing units!!Renter-occupied housing units!!Population in renter-occupied housing units"
"DP4_0014CA","Annotation of Number!!HOUSING TENURE!!Occupied housing units!!Renter-occupied housing units!!Population in renter-occupied housing units"
"DP4_0015C","Number!!HOUSING TENURE!!Occupied housing units!!Renter-occupied housing units!!Average household size of renter-occupied housing units"
"DP4_0015CA","Annotation of Number!!HOUSING TENURE!!Occupied housing units!!Renter-occupied housing units!!Average household size of renter-occupied housing units"
"DP4_0016C","Number!!UNITS IN STRUCTURE!!Total housing units"
"DP4_0016CA","Annotation of Number!!UNITS IN STRUCTURE!!Total housing units"
"DP4_0017C","Number!!UNITS IN STRUCTURE!!Total housing units!!1 unit, detached"
"DP4_0017CA","Annotation of Number!!UNITS IN STRUCTURE!!Total housing units!!1 unit, detached"
"DP4_0018C","Number!!UNITS IN STRUCTURE!!Total housing units!!1 unit, attached"
"DP4_0018CA","Annotation of Number!!UNITS IN STRUCTURE!!Total housing units!!1 unit, attached"
"DP4_0019C","Number!!UNITS IN STRUCTURE!!Total housing units!!1 unit with 2 houses"
"DP4_0019CA","Annotation of Number!!UNITS IN STRUCTURE!!Total housing units!!1 unit with 2 houses"
"DP4_0020C","Number!!UNITS IN STRUCTURE!!Total housing units!!1 unit with 3 or more houses"
"DP4_0020CA","Annotation of Number!!UNITS IN STRUCTURE!!Total housing units!!1 unit with 3 or more houses"
