"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"DP3_0001C","Number!!EMPLOYMENT STATUS!!Population 16 years and over in households (excluding people in military housing units)"
"DP3_0001CA","Annotation of Number!!EMPLOYMENT STATUS!!Population 16 years and over in households (excluding people in military housing units)"
"DP3_0002C","Number!!EMPLOYMENT STATUS!!Population 16 years and over in households (excluding people in military housing units)!!In labor force"
"DP3_0002CA","Annotation of Number!!EMPLOYMENT STATUS!!Population 16 years and over in households (excluding people in military housing units)!!In labor force"
"DP3_0003C","Number!!EMPLOYMENT STATUS!!Population 16 years and over in households (excluding people in military housing units)!!In labor force!!Civilian labor force"
"DP3_0003CA","Annotation of Number!!EMPLOYMENT STATUS!!Population 16 years and over in households (excluding people in military housing units)!!In labor force!!Civilian labor force"
"DP3_0004C","Number!!EMPLOYMENT STATUS!!Population 16 years and over in households (excluding people in military housing units)!!In labor force!!Civilian labor force!!Employed"
"DP3_0004CA","Annotation of Number!!EMPLOYMENT STATUS!!Population 16 years and over in households (excluding people in military housing units)!!In labor force!!Civilian labor force!!Employed"
"DP3_0005C","Number!!EMPLOYMENT STATUS!!Population 16 years and over in households (excluding people in military housing units)!!In labor force!!Civilian labor force!!Unemployed"
"DP3_0005CA","Annotation of Number!!EMPLOYMENT STATUS!!Population 16 years and over in households (excluding people in military housing units)!!In labor force!!Civilian labor force!!Unemployed"
"DP3_0006C","Number!!EMPLOYMENT STATUS!!Population 16 years and over in households (excluding people in military housing units)!!In labor force!!Armed Forces"
"DP3_0006CA","Annotation of Number!!EMPLOYMENT STATUS!!Population 16 years and over in households (excluding people in military housing units)!!In labor force!!Armed Forces"
"DP3_0007C","Number!!EMPLOYMENT STATUS!!Population 16 years and over in households (excluding people in military housing units)!!Not in labor force"
"DP3_0007CA","Annotation of Number!!EMPLOYMENT STATUS!!Population 16 years and over in households (excluding people in military housing units)!!Not in labor force"
"DP3_0008C","Number!!EMPLOYMENT STATUS!!Civilian labor force living in households (excluding people in military housing units)"
"DP3_0008CA","Annotation of Number!!EMPLOYMENT STATUS!!Civilian labor force living in households (excluding people in military housing units)"
"DP3_0009C","Number!!EMPLOYMENT STATUS!!Civilian labor force living in households (excluding people in military housing units)!!Unemployment Rate"
"DP3_0009CA","Annotation of Number!!EMPLOYMENT STATUS!!Civilian labor force living in households (excluding people in military housing units)!!Unemployment Rate"
"DP3_0010C","Number!!EMPLOYMENT STATUS!!Females 16 years and over in households (excluding people in military housing units)"
"DP3_0010CA","Annotation of Number!!EMPLOYMENT STATUS!!Females 16 years and over in households (excluding people in military housing units)"
"DP3_0011C","Number!!EMPLOYMENT STATUS!!Females 16 years and over in households (excluding people in military housing units)!!In labor force"
"DP3_0011CA","Annotation of Number!!EMPLOYMENT STATUS!!Females 16 years and over in households (excluding people in military housing units)!!In labor force"
"DP3_0012C","Number!!EMPLOYMENT STATUS!!Females 16 years and over in households (excluding people in military housing units)!!In labor force!!Civilian labor force"
"DP3_0012CA","Annotation of Number!!EMPLOYMENT STATUS!!Females 16 years and over in households (excluding people in military housing units)!!In labor force!!Civilian labor force"
"DP3_0013C","Number!!EMPLOYMENT STATUS!!Females 16 years and over in households (excluding people in military housing units)!!In labor force!!Civilian labor force!!Employed"
"DP3_0013CA","Annotation of Number!!EMPLOYMENT STATUS!!Females 16 years and over in households (excluding people in military housing units)!!In labor force!!Civilian labor force!!Employed"
"DP3_0014C","Number!!EMPLOYMENT STATUS!!Females 16 years and over in households (excluding people in military housing units)!!In labor force!!Civilian labor force!!Unemployed"
"DP3_0014CA","Annotation of Number!!EMPLOYMENT STATUS!!Females 16 years and over in households (excluding people in military housing units)!!In labor force!!Civilian labor force!!Unemployed"
"DP3_0015C","Number!!EMPLOYMENT STATUS!!Females 16 years and over in households (excluding people in military housing units)!!In labor force!!Armed Forces"
"DP3_0015CA","Annotation of Number!!EMPLOYMENT STATUS!!Females 16 years and over in households (excluding people in military housing units)!!In labor force!!Armed Forces"
"DP3_0016C","Number!!EMPLOYMENT STATUS!!Females 16 years and over in households (excluding people in military housing units)!!Not in labor force"
"DP3_0016CA","Annotation of Number!!EMPLOYMENT STATUS!!Females 16 years and over in households (excluding people in military housing units)!!Not in labor force"
