Community Name,MHI,City Address,City,County,Zip Code,Population of Community,Does your community have a collection system? ,Census Place,Notes
Elkton,,115B Main Street,Elkton,Mower,55933,154,Yes,Elkton,
Hancock,,662 6th st,Hancock,Stevens,56244,769,Yes,Hancock,
Grand Meadow,50648,112 Grand Ave E Box 38,Grand Meadow,Mower,55936,1139,Yes,Grand Meadow,
Morris,41991,609 Oregon Ave PO Box 438,Morris,Stevens,56267,5286,Yes,Morris,
Onamia,29583,PO Box 186,Onamia,Mille Lacs,56359,878,Yes,Onamia,
Westport,,107 Livingston Street,Westport,Pope,56385,,No,Westport,
Windom,39549,PO Box 38 444 9th St,Windom,Cottonwood,56101,4646,Yes,Windom,
Winton,33750,PO Box 163,Winton,St. Louis,55796,170,Yes,Winton,
Wanamingo,49539,PO Box 224W,Wanamingo,Goodhue,55983,1086,Yes,Wanamingo,
Stockton,51875,8600 D Street,Winona,MN,55987,712,Yes,Stockton,
McIntosh,29737,PO Box 97,McIntosh,Polk,56556,625,Yes,McIntosh,
Mendota Heights,95353,1101 Victoria Curve,Mendota Hts,Dakota,55118,11340,Yes,Mendota Heights,
Gibbon,49464,PO Box 106,Gibbon,Sibley,55335,772,Yes,Gibbon,
Montrose,63485,PO Box 25,Montrose,Wright,55363,3040,Yes,Montrose,
Goodview,60879,4140 W. Fifth St,Goodview,Winona,55987,4064,Yes,Goodview,
St Louis Park,66432,5005 Minnetonka Blvd,St. Louis Park,Hennepin,55426,47221,Yes,St. Louis Park,
Milaca,36465,255 1st St E,Milaca,Mille Lacs,56353,2946,Yes,Milaca,
Cosmos,29423,Box 614,Cosmos,Meeker,56228,473,Yes,Cosmos,
Browns Valley,33375,"19 3rd St. S, PO Box 334",Browns Valley,Traverse,56219,589,Yes,Browns Valley,
New Hope,50165,4401 Xylon Ave N,New Hope,Hennepin,55428,20339,Yes,New Hope,
Fountain,60000,Box 115,Fountain,Fillmore,55935,413,Yes,Fountain,
Morgan,46905,119 Vernon Avenue PO Box 27,Morgan,Redwood,56266,875,Yes,Morgan,
Olivia,49125,1009 West Lincoln Ave,Olivia,Renville,56277,2484,Yes,Olivia,
Welcome,37917,PO Box 72,Welcome,Martin,56181,686,Yes,Welcome,
Spicer,54954,217 Hillcrest Ave. Box 656,Spicer,Kandiyohi,56288,1217,Yes,Spicer,
Verndale,44091,PO Box 156 / 101 S. Brown St.,Verndale,Wadena,56481,602,Yes,Verndale,
New Ulm,50254,100 North Broadway,New Ulm,Brown,56073,13522,Yes,New Ulm,
Vesta,38000,Box 7,Vesta,Redwood,56292,296,Yes,Vesta,
Warroad,37528,PO Box 50,Warroad,Roseau,56763,1781,Yes,Warroad,
Empire Township,,3385 197th Street,Farmington,Dakota,55024,3033,Yes,,township
Green Isle,54167,310 McGrann St. P.O. Box 275,Green Isle,Sibley,55338,559,Yes,Green Isle,
Bird Island,41528,"660 Birch Ave., PO Box 130",Bird Island,Renville,55310,1042,Yes,Bird Island,
Lancaster,45781,PO Box 97,Lancaster,Kittson,56735,340,Yes,Lancaster,
Moose Lake Windemere Area Sanitary Sewer District,,"304 1/2 Elm Ave, PO Box 588, Moose Lake Mn",Moose Lake,Carlton/Pine,55767,,Yes,,
Rockville,,209 Broadway Street East,Rockville,Stearns,56369,,Yes,Rockville,
Red Wing,45890,315 W 4th St,Red Wing,Goodhue,55066,16459,Yes,Red Wing,
Kenneth,,"City of Kenneth, 171 Park Ave.",Kenneth,Rock,56147,55,Yes,Kenneth,
St Joseph,51265,75 Callaway St E,St Joseph,Stearns,56374,6787,Yes,St. Joseph,
New Germany,52500,PO Box 177,New Germany,Carver,55367,455,Yes,New Germany,
East Bethel,87245,2241 - 221st Ave NE,East Bethel,Anoka,55011-9790,11626,Yes,East Bethel,
Tamarack,29500,235 Main Street N.,Tamarack,Aitkin,55787,94,Yes,Tamarack,
Finlayson,40625,PO Box 244,Finlayson,Pine,55735,315,Yes,Finlayson,
Woodbury,99698,8301 Valley Creek Road,Woodbury,Washington,55125,69240,Yes,Woodbury,
Fulda,42315,102 NE 3rd St,Fulda,Murray,56131,1318,Yes,Fulda,
Altura,63125,25 N. Main Street,Altura,Winona,55910,493,Yes,Altura,
Utica,58750,PO 431,Utica,Winona,55979,291,Yes,Utica,
