,STATE,STATEFP,COUNTY,NAMELSAD,COUNTYFP,PRES_RES_RECEIVING_COLLCTN,PRES_N_RES_RECEIVING_COLLCTN,epa_data,cbsa_fips,cbsa_name,metro_micro,central_outlying_county
0,HI,15,Hawaii,Hawaii County,1,52158.0,5889.0,True,25900.0,"Hilo, HI",Micropolitan Statistical Area,Central
1,HI,15,Kalawao,Kalawao County,5,0.0,0.0,False,27980.0,"Kahului-Wailuku-Lahaina, HI",Metropolitan Statistical Area,Outlying
2,HI,15,Kauai,Kauai County,7,22300.0,1700.0,True,28180.0,"Kapaa, HI",Micropolitan Statistical Area,Central
3,HI,15,Honolulu,Honolulu County,3,681279.0,76041.0,True,46520.0,"Urban Honolulu, HI",Metropolitan Statistical Area,Central
4,HI,15,Maui,Maui County,9,70639.0,50137.0,True,27980.0,"Kahului-Wailuku-Lahaina, HI",Metropolitan Statistical Area,Central
5,AR,5,Columbia,Columbia County,27,14399.0,0.0,True,31620.0,"Magnolia, AR",Micropolitan Statistical Area,Central
6,AR,5,Madison,Madison County,87,2346.0,0.0,True,22220.0,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,Outlying
7,AR,5,Pike,Pike County,109,4265.0,0.0,True,,,Rural Area,
8,AR,5,Calhoun,Calhoun County,13,2039.0,0.0,True,15780.0,"Camden, AR",Micropolitan Statistical Area,Outlying
9,AR,5,Lincoln,Lincoln County,79,3560.0,0.0,True,38220.0,"Pine Bluff, AR",Metropolitan Statistical Area,Outlying
10,AR,5,Newton,Newton County,101,466.0,0.0,True,25460.0,"Harrison, AR",Micropolitan Statistical Area,Outlying
11,AR,5,Baxter,Baxter County,5,16457.0,0.0,True,34260.0,"Mountain Home, AR",Micropolitan Statistical Area,Central
12,AR,5,Yell,Yell County,149,9418.0,0.0,True,40780.0,"Russellville, AR",Micropolitan Statistical Area,Outlying
13,AR,5,Polk,Polk County,113,7286.0,0.0,True,,,Rural Area,
14,AR,5,Cleburne,Cleburne County,23,7927.0,0.0,True,,,Rural Area,
15,AR,5,Pope,Pope County,115,35152.0,0.0,True,40780.0,"Russellville, AR",Micropolitan Statistical Area,Central
16,AR,5,Washington,Washington County,143,168354.0,0.0,True,22220.0,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,Central
17,AR,5,Poinsett,Poinsett County,111,15752.0,0.0,True,27860.0,"Jonesboro, AR",Metropolitan Statistical Area,Outlying
18,AR,5,Arkansas,Arkansas County,1,13822.0,0.0,True,,,Rural Area,
19,AR,5,Chicot,Chicot County,17,7160.0,0.0,True,,,Rural Area,
20,AR,5,Miller,Miller County,91,31020.0,0.0,True,45500.0,"Texarkana, TX-AR",Metropolitan Statistical Area,Central
21,AR,5,Cleveland,Cleveland County,25,1791.0,0.0,True,38220.0,"Pine Bluff, AR",Metropolitan Statistical Area,Outlying
22,AR,5,Phillips,Phillips County,107,15633.0,0.0,True,25760.0,"Helena-West Helena, AR",Micropolitan Statistical Area,Central
23,AR,5,Carroll,Carroll County,15,12563.0,0.0,True,,,Rural Area,
24,AR,5,Randolph,Randolph County,121,8149.0,0.0,True,,,Rural Area,
25,AR,5,Fulton,Fulton County,49,2612.0,0.0,True,,,Rural Area,
26,AR,5,Little River,Little River County,81,6108.0,0.0,True,45500.0,"Texarkana, TX-AR",Metropolitan Statistical Area,Outlying
27,AR,5,Boone,Boone County,9,14552.0,0.0,True,25460.0,"Harrison, AR",Micropolitan Statistical Area,Central
28,AR,5,St. Francis,St. Francis County,123,19268.0,0.0,True,22620.0,"Forrest City, AR",Micropolitan Statistical Area,Central
29,AR,5,Lawrence,Lawrence County,75,10816.0,0.0,True,,,Rural Area,
30,AR,5,Grant,Grant County,53,5394.0,0.0,True,30780.0,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,Outlying
