,county_subdivision_name,county_subdivision_fips,county_fips,num_septic_tanks,cbsa_fips,cbsa_name,metro_micro,central_outlying_county
0,Alford,90013,63,872,,,Rural Area,
1,Allentown,90020,113,456,37860.0,"Pensacola-Ferry Pass-Brent, FL",Metropolitan Statistical Area,Central
2,Altha,90026,13,155,,,Rural Area,
3,Apalachicola,90039,37,1306,,,Rural Area,
4,Apopka,90052,95,3032,36740.0,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,Central
5,Arcadia East,90065,27,1367,11580.0,"Arcadia, FL",Micropolitan Statistical Area,Central
6,Arcadia West,90078,27,1504,11580.0,"Arcadia, FL",Micropolitan Statistical Area,Central
7,Avalon-Mulat,90085,113,846,37860.0,"Pensacola-Ferry Pass-Brent, FL",Metropolitan Statistical Area,Central
8,Avon Park,90091,55,1879,42700.0,"Sebring, FL",Metropolitan Statistical Area,Central
9,Bagdad,90097,113,951,37860.0,"Pensacola-Ferry Pass-Brent, FL",Metropolitan Statistical Area,Central
10,Baker,90104,91,1523,18880.0,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,Central
11,Baldwin,90110,31,618,27260.0,"Jacksonville, FL",Metropolitan Statistical Area,Central
12,Bartow,90117,105,2801,29460.0,"Lakeland-Winter Haven, FL",Metropolitan Statistical Area,Central
13,Bell,90130,41,689,23540.0,"Gainesville, FL",Metropolitan Statistical Area,Outlying
14,Belle Glade-Pahokee,90143,99,74,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,Central
15,Belleview,90156,83,2043,36100.0,"Ocala, FL",Metropolitan Statistical Area,Central
16,Berrydale,90162,113,327,37860.0,"Pensacola-Ferry Pass-Brent, FL",Metropolitan Statistical Area,Central
17,Blountstown,90169,13,296,,,Rural Area,
18,Boca Ciega,90182,103,51,45300.0,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,Central
19,Boca Grande,90195,71,3,15980.0,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,Central
20,Boca Raton,90208,99,573,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,Central
21,Bonifay,90221,59,806,,,Rural Area,
22,Bonita Springs,90234,71,713,15980.0,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,Central
23,Bowling Green,90247,49,149,48100.0,"Wauchula, FL",Micropolitan Statistical Area,Central
