,"County, State",Percent of occupied housing units lacking complete plumbing facilities
0,"Yukon-Koyukuk Census Area, Alaska",36.1
1,"Bethel Census Area, Alaska",31.1
2,"Kusilvak Census Area, Alaska",25.3
3,"Nome Census Area, Alaska",24.5
4,"Northwest Arctic Borough, Alaska",20.0
5,"Denali Borough, Alaska",18.1
6,"Lake and Peninsula Borough, Alaska",13.8
7,"Apache County, Arizona",12.8
8,"Dillingham Census Area, Alaska",12.0
9,"Southeast Fairbanks Census Area, Alaska",11.1
10,"North Slope Borough, Alaska",10.8
11,"Haines Borough, Alaska",10.5
12,"Copper River Census Area, Alaska",10.1
13,"San Juan County, Utah",10.0
14,"Adams County, Indiana",9.7
15,"McKinley County, New Mexico",9.6
16,"Oglala Lakota County, South Dakota",9.2
17,"Hoonah-Angoon Census Area, Alaska",7.6
18,"Mora County, New Mexico",7.6
19,"Navajo County, Arizona",7.0
20,"Prince of Wales-Hyder Census Area, Alaska",6.7
21,"Lawrence County, Mississippi",6.2
22,"Catahoula Parish, Louisiana",6.1
23,"Hudspeth County, Texas",6.1
24,"Fairbanks North Star Borough, Alaska",5.6
25,"Salinas Municipio, Puerto Rico",5.1
26,"Yakutat City and Borough, Alaska",5.1
27,"Wolfe County, Kentucky",4.6
28,"Bristol Bay Borough, Alaska",4.4
29,"Santa Isabel Municipio, Puerto Rico",4.3
30,"Grant County, New Mexico",4.1
31,"Cibola County, New Mexico",4.1
32,"Vernon County, Wisconsin",4.1
33,"Guayanilla Municipio, Puerto Rico",4.0
34,"Worth County, Missouri",4.0
35,"Newton County, Texas",4.0
36,"Quitman County, Georgia",3.9
37,"Clark County, Idaho",3.9
38,"Wilbarger County, Texas",3.8
39,"Sheridan County, North Dakota",3.8
40,"Mono County, California",3.7
41,"Moca Municipio, Puerto Rico",3.5
42,"Peñuelas Municipio, Puerto Rico",3.4
43,"Foard County, Texas",3.4
44,"Costilla County, Colorado",3.3
45,"Coconino County, Arizona",3.3
46,"Aransas County, Texas",3.2
47,"Van Buren County, Tennessee",3.2
48,"Kenai Peninsula Borough, Alaska",3.2
49,"Wahkiakum County, Washington",3.2
50,"Atkinson County, Georgia",3.2
51,"Gurabo Municipio, Puerto Rico",3.2
52,"Webster County, Missouri",3.1
53,"Borden County, Texas",3.1
54,"Grant County, South Dakota",3.0
55,"Daggett County, Utah",3.0
56,"Maunabo Municipio, Puerto Rico",3.0
57,"Tensas Parish, Louisiana",3.0
58,"Newton County, Arkansas",3.0
59,"Gilmer County, West Virginia",3.0
60,"Big Horn County, Montana",2.9
61,"Pocahontas County, West Virginia",2.9
62,"Cook County, Minnesota",2.8
63,"Todd County, Minnesota",2.8
64,"East Carroll Parish, Louisiana",2.8
65,"Matanuska-Susitna Borough, Alaska",2.8
66,"Alamosa County, Colorado",2.8
67,"Richland County, Wisconsin",2.8
68,"Maricao Municipio, Puerto Rico",2.8
69,"Culebra Municipio, Puerto Rico",2.7
70,"Dixie County, Florida",2.7
71,"Saguache County, Colorado",2.7
72,"Noble County, Ohio",2.7
73,"Tillman County, Oklahoma",2.7
74,"Lake County, Tennessee",2.7
75,"Bent County, Colorado",2.7
76,"McMullen County, Texas",2.7
77,"Aleutians East Borough, Alaska",2.7
78,"Codington County, South Dakota",2.7
79,"Villalba Municipio, Puerto Rico",2.7
80,"Madison Parish, Louisiana",2.6
81,"Skagway Municipality, Alaska",2.6
82,"Trinity County, Texas",2.6
83,"Gentry County, Missouri",2.6
84,"Polk County, Tennessee",2.5
85,"Mercer County, Missouri",2.5
86,"Rio Arriba County, New Mexico",2.5
87,"Ferry County, Washington",2.5
88,"Van Buren County, Iowa",2.5
89,"Rappahannock County, Virginia",2.5
90,"Dolores County, Colorado",2.5
91,"Coamo Municipio, Puerto Rico",2.4
92,"Mountrail County, North Dakota",2.4
93,"Richland Parish, Louisiana",2.4
94,"Estill County, Kentucky",2.4
95,"Powell County, Kentucky",2.4
96,"Toa Baja Municipio, Puerto Rico",2.4
97,"Cataño Municipio, Puerto Rico",2.4
98,"San Miguel County, New Mexico",2.4
